n_zeros,gamma_max,sum_A_mertens,sum_A_liouville,max_envelope_mertens
1,14.135,0.048271,0.682726,0.048271
2,21.022,0.078549,1.319409,0.078549
3,25.011,0.103304,1.938673,0.103304
4,30.425,0.123063,2.539910,0.123063
5,32.935,0.141107,3.134288,0.141107
6,37.586,0.156629,3.717740,0.156629
7,40.919,0.170723,4.294477,0.170723
8,43.327,0.183932,4.866821,0.183932
9,48.005,0.195695,5.431535,0.195695
10,49.774,0.206987,5.993629,0.206987
11,52.970,0.217515,6.551298,0.217515
12,56.446,0.227316,7.104556,0.227316
13,59.347,0.236580,7.654409,0.236580
14,60.832,0.245592,8.202606,0.245592
15,65.113,0.253942,8.746321,0.253942
16,67.080,0.262018,9.288108,0.262018
17,69.546,0.269775,9.827584,0.269775
18,72.067,0.277230,10.364811,0.277230
19,75.705,0.284285,10.898972,0.284285
20,77.145,0.291194,11.431973,0.291194
30,101.318,0.349330,16.668014,0.349330
40,122.947,0.394590,21.778036,0.394590
50,143.112,0.432057,26.798219,0.432057
60,163.031,0.464156,31.748067,0.464156
70,182.207,0.492357,36.641063,0.492357
80,201.265,0.517565,41.486239,0.517565
90,219.068,0.540410,46.290528,0.540410
100,236.524,0.561323,51.058927,0.561323
110,253.070,0.580632,55.795556,0.580632
120,269.970,0.598576,60.503528,0.598576
130,286.667,0.615353,65.185630,0.615353
140,302.697,0.631119,69.844179,0.631119
150,318.853,0.645996,74.481025,0.645996
160,334.211,0.660086,79.097807,0.660086
170,350.408,0.673469,83.695848,0.673469
180,366.213,0.686225,88.276542,0.686225
190,381.484,0.698412,92.840968,0.698412
200,396.382,0.710079,97.389997,0.710079
300,541.847,0.805983,142.192862,0.805983
400,679.742,0.877938,186.062414,0.877938
500,811.184,0.935957,229.266208,0.935957
600,939.024,0.984779,271.955965,0.984779
700,1062.915,1.027043,314.229024,1.027043
800,1183.713,1.064378,356.152874,1.064378
900,1302.347,1.097865,397.776988,1.097865
1000,1419.422,1.128257,439.139082,1.128257
1100,1535.042,1.156104,480.268821,1.156104
1200,1648.271,1.181819,521.190119,1.181819
1300,1760.215,1.205720,561.922608,1.205720
1400,1871.416,1.228058,602.482712,1.228058
1500,1980.910,1.249033,642.884371,1.249033
1600,2090.036,1.268811,683.139521,1.268811
1700,2197.259,1.287527,723.258518,1.287527
1800,2304.305,1.305294,763.250406,1.305294
1900,2409.882,1.322208,803.123163,1.322208
2000,2515.286,1.338351,842.883872,1.338351
3000,3533.328,1.469252,1235.462384,1.469252
4000,4506.311,1.565627,1621.204593,1.565627
5000,5447.862,1.642350,2002.057722,1.642350
6000,6365.852,1.706299,2379.127176,1.706299
7000,7264.748,1.761244,2753.123117,1.761244
8000,8148.188,1.809484,3124.538900,1.809484
9000,9018.424,1.852528,3493.736391,1.852528
10000,9877.783,1.891421,3860.991853,1.891421
11000,10726.258,1.926919,4226.522794,1.926919
12000,11566.402,1.959587,4590.504690,1.959587
13000,12397.778,1.989856,4953.081951,1.989856
14000,13222.821,2.018067,5314.375403,2.018067
15000,14040.460,2.044491,5674.487550,2.044491
16000,14852.514,2.069348,6033.506391,2.069348
17000,15658.378,2.092819,6391.508260,2.092819
18000,16459.084,2.115057,6748.559964,2.115057
19000,17255.318,2.136188,7104.720435,2.136188
20000,18046.464,2.156321,7460.042033,2.156321
30000,25755.348,2.318401,10975.515856,2.318401
40000,33190.012,2.436518,14439.493671,2.436518
50000,40433.687,2.529893,17866.481653,2.529893
60000,47530.951,2.607314,21264.746953,2.607314
70000,54511.658,2.673557,24639.617062,2.673557
80000,61393.964,2.731515,27994.802453,2.731515
90000,68193.445,2.783080,31333.030579,2.783080
100000,74920.827,2.829555,34656.387614,2.829555
